trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint,shape_dist_traveled
1-1,00:26:00,00:26:00,205696,1,1,0
1-1,00:28:00,00:28:00,204229,2,0,514
1-1,00:29:08,00:29:08,204191,3,0,803
1-1,00:31:06,00:31:06,205517,4,0,1306
1-1,00:33:00,00:33:00,205518,5,0,1800
1-1,00:35:40,00:35:40,205519,6,0,2450
2-1,06:15:00,06:15:00,205696,1,1,0
2-1,06:17:30,06:17:30,204230,2,0,600
2-1,06:20:00,06:20:00,204192,3,0,1100
3-1,14:10:00,14:10:00,205696,1,1,0
3-1,14:12:00,14:12:00,204229,2,0,514
3-1,14:14:00,14:14:00,204191,3,0,803
